City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Hobyo,SO,2020-07-10 21:46:25,5.35,48.53,78.33,79,20,26.24
162,Lengshuitan,CN,2020-07-10 21:47:07,26.41,111.6,76.39,92,100,4.76
163,Katobu,ID,2020-07-10 21:47:07,-4.94,122.53,73.4,95,97,3.58
164,Rio Gallegos,AR,2020-07-10 21:45:38,-51.62,-69.22,32.0,92,100,10.29
165,Yambio,SS,2020-07-10 21:47:08,4.57,28.4,68.31,94,100,1.03
166,Onega,RU,2020-07-10 21:43:35,63.91,38.14,52.11,77,22,6.62
167,Kijang,KR,2020-07-10 21:47:09,35.24,129.21,73.4,94,75,1.12
168,Olenegorsk,RU,2020-07-10 21:47:09,68.15,33.3,50.74,78,83,5.3
169,Maturin,VE,2020-07-10 21:47:09,9.75,-63.18,77.79,90,100,6.04
170,Cap Malheureux,MU,2020-07-10 21:47:09,-19.98,57.61,66.99,79,55,7.0
171,Onokhoy,RU,2020-07-10 21:47:09,51.93,108.07,57.2,93,20,2.26
172,Lodingen,NO,2020-07-10 21:47:09,68.41,16.0,51.8,81,9,9.17
173,Hamina,FI,2020-07-10 21:44:26,60.57,27.2,51.8,81,98,4.7
174,Paray-Le-Monial,FR,2020-07-10 21:47:10,46.45,4.12,68.0,60,73,11.41
175,Meadow Lake,US,2020-07-10 21:45:19,34.8,-106.54,102.0,8,40,8.05
176,Airai,TL,2020-07-10 21:46:51,-8.93,125.41,57.09,100,46,3.85
177,Beringovskiy,RU,2020-07-10 21:46:51,63.05,179.32,55.51,68,96,3.02
178,Mnogovershinnyy,RU,2020-07-10 21:47:11,53.94,139.92,52.59,91,99,1.39
179,Cantilan,PH,2020-07-10 21:47:11,9.33,125.98,78.35,78,76,3.69
180,Haines Junction,CA,2020-07-10 21:46:28,60.75,-137.51,64.85,37,100,4.61
181,Palmer,US,2020-07-10 21:45:04,42.16,-72.33,82.4,69,75,13.87
182,Palembang,ID,2020-07-10 21:47:12,-2.92,104.75,72.05,95,26,2.93
183,Nishihara,JP,2020-07-10 21:47:12,26.18,127.76,84.2,89,20,6.93
184,Yar-Sale,RU,2020-07-10 21:42:46,66.83,70.83,54.55,75,84,3.33
185,Port Lincoln,AU,2020-07-10 21:47:12,-34.73,135.87,48.94,82,34,13.04
186,Autazes,BR,2020-07-10 21:47:13,-3.58,-59.13,78.58,85,95,2.71
187,Diffa,NE,2020-07-10 21:47:13,13.32,12.61,89.91,39,81,8.37
188,Fortuna,US,2020-07-10 21:47:13,40.6,-124.16,72.0,68,20,14.99
189,Talcahuano,CL,2020-07-10 21:47:13,-36.72,-73.12,53.6,71,20,10.29
190,Pevek,RU,2020-07-10 21:47:13,69.7,170.31,47.98,87,79,5.66
191,Marica,BR,2020-07-10 21:47:13,-22.92,-42.82,72.0,68,75,10.29
192,Castro,BR,2020-07-10 21:47:13,-24.79,-50.01,53.04,81,27,3.38
193,Laukaa,RU,2020-07-10 21:47:14,58.74,29.85,57.51,98,100,4.83
194,Puerto Ayora,EC,2020-07-10 21:47:14,-0.74,-90.35,70.0,90,100,5.99
195,Aykhal,RU,2020-07-10 21:47:14,66.0,111.5,57.2,93,90,2.24
196,Monrovia,LR,2020-07-10 21:47:14,6.3,-10.8,77.0,83,75,5.82
197,Bom Jesus Da Lapa,BR,2020-07-10 21:47:14,-13.26,-43.42,80.6,51,94,6.93
198,Valpoi,IN,2020-07-10 21:47:14,15.53,74.14,76.86,87,100,1.88
199,Numan,NG,2020-07-10 21:47:14,9.47,12.03,77.56,82,100,7.63
200,Almeirim,BR,2020-07-10 21:47:15,-1.52,-52.58,76.41,92,100,2.86
201,Bubaque,GW,2020-07-10 21:47:15,11.28,-15.83,81.03,81,100,20.94
202,Masuda,JP,2020-07-10 21:47:15,34.67,131.85,75.2,88,75,8.39
203,Belyy Yar,RU,2020-07-10 21:44:10,53.6,91.39,55.4,93,76,0.74
204,Jayanca,PE,2020-07-10 21:47:15,-6.39,-79.82,68.0,64,3,17.22
205,Lebyazhye,RU,2020-07-10 21:45:45,55.27,66.49,68.25,87,31,1.88
206,Santa Marta,CO,2020-07-10 21:44:38,11.24,-74.2,84.25,72,11,16.42
207,Siuna,NI,2020-07-10 21:47:15,13.73,-84.78,83.26,76,86,3.49
208,Mbaiki,CF,2020-07-10 21:43:03,3.87,17.99,69.26,97,100,2.13
209,Newport,GB,2020-07-10 21:47:15,51.59,-3.0,55.0,73,0,1.01
210,Batagay-Alyta,RU,2020-07-10 21:47:16,67.8,130.41,66.83,42,76,3.06
211,Sudak,UA,2020-07-10 21:47:16,44.85,34.97,70.38,65,0,9.55
212,Broome,US,2020-07-10 21:47:16,42.25,-75.83,78.01,78,75,5.82
213,Kansanshi,ZM,2020-07-10 21:47:17,-12.1,26.43,59.7,62,0,4.07
214,Altay,CN,2020-07-10 21:47:17,47.87,88.12,59.23,53,0,3.15
215,Yerofey Pavlovich,RU,2020-07-10 21:47:01,53.97,121.97,69.48,72,72,2.08
216,Antalaha,MG,2020-07-10 21:47:19,-14.9,50.28,68.9,86,55,9.28
217,Kirksville,US,2020-07-10 21:47:19,40.19,-92.58,90.0,43,1,6.93
218,Sharan,RU,2020-07-10 21:47:19,54.82,54.0,66.81,95,84,4.14
219,Salalah,OM,2020-07-10 21:43:26,17.02,54.09,82.4,94,90,9.17
220,Miles City,US,2020-07-10 21:47:20,46.41,-105.84,78.8,44,1,16.11
221,Kahului,US,2020-07-10 21:46:35,20.89,-156.47,89.6,46,1,20.8
222,Hirara,JP,2020-07-10 21:42:36,24.8,125.28,82.4,88,20,8.05
223,Esperance,AU,2020-07-10 21:47:20,-33.87,121.9,46.4,93,40,5.82
224,Kilinochchi,LK,2020-07-10 21:47:21,9.4,80.4,79.11,84,100,10.22
225,Bethel,US,2020-07-10 21:46:35,41.37,-73.41,73.99,94,90,12.75
226,Padang,ID,2020-07-10 21:47:21,-0.95,100.35,77.52,81,82,4.61
227,Jacksonville,US,2020-07-10 21:45:01,30.33,-81.66,97.0,52,75,5.82
228,Pindi Gheb,PK,2020-07-10 21:47:22,33.24,72.27,80.6,57,40,11.41
229,Lethem,GY,2020-07-10 21:47:23,3.38,-59.8,81.05,77,91,3.38
230,Tubuala,PA,2020-07-10 21:47:26,9.52,-79.03,84.2,66,40,13.87
231,Puerto Ayacucho,VE,2020-07-10 21:45:33,5.66,-67.62,86.0,66,75,5.82
232,Sao Joao Da Barra,BR,2020-07-10 21:42:57,-21.64,-41.05,71.6,73,75,6.93
233,Saint George,US,2020-07-10 21:45:59,37.1,-113.58,104.0,6,1,4.7
234,Lincoln,US,2020-07-10 21:45:46,40.8,-96.67,91.0,48,1,6.93
235,Kyra,RU,2020-07-10 21:47:27,49.58,111.98,59.04,88,72,4.34
236,Bonthe,SL,2020-07-10 21:47:28,7.53,-12.51,76.24,87,100,10.87
237,Balabac,PH,2020-07-10 21:47:28,7.99,117.06,81.63,79,100,9.8
238,America Dourada,BR,2020-07-10 21:47:28,-11.46,-41.44,67.08,78,91,6.58
239,Sioux Lookout,CA,2020-07-10 21:47:28,50.1,-91.92,71.6,64,75,9.17
240,Talnakh,RU,2020-07-10 21:47:28,69.49,88.4,51.8,87,0,11.18
241,Egvekinot,RU,2020-07-10 21:47:28,66.32,-179.17,55.69,81,99,1.74
242,Iqaluit,CA,2020-07-10 21:42:39,63.75,-68.51,48.2,70,40,8.05
243,Miraflores,MX,2020-07-10 21:47:29,19.22,-98.81,78.8,29,40,11.41
244,Lianzhou,CN,2020-07-10 21:47:29,24.78,112.38,77.0,90,100,4.16
245,Port Hawkesbury,CA,2020-07-10 21:47:29,45.62,-61.35,70.0,88,1,9.17
246,San Rafael,AR,2020-07-10 21:47:29,-34.62,-68.33,50.81,63,37,6.13
247,Itiuba,BR,2020-07-10 21:47:29,-10.69,-39.85,70.56,78,31,8.03
248,Kysyl-Syr,RU,2020-07-10 21:47:29,63.9,122.76,66.04,74,51,9.8
249,Nauta,PE,2020-07-10 21:47:30,-4.51,-73.58,79.99,90,45,1.97
250,Khani,GE,2020-07-10 21:47:30,41.96,42.96,71.6,94,75,3.36
251,Nemuro,JP,2020-07-10 21:47:30,43.32,145.57,59.59,86,100,4.68
252,Sukumo,JP,2020-07-10 21:47:31,32.93,132.73,76.33,91,100,7.0
253,Samarai,PG,2020-07-10 21:47:31,-10.62,150.67,77.97,87,96,19.06
254,Mount Gambier,AU,2020-07-10 21:47:31,-37.83,140.77,48.2,93,75,4.7
255,Saldanha,ZA,2020-07-10 21:47:31,-33.01,17.94,51.8,81,80,6.93
256,Narsaq,GL,2020-07-10 21:47:31,60.92,-46.05,48.2,93,75,4.7
257,Severodvinsk,RU,2020-07-10 21:47:32,64.56,39.83,51.8,93,20,2.24
258,Durres,AL,2020-07-10 21:47:32,41.32,19.44,71.6,64,0,4.7
259,Octeville,FR,2020-07-10 21:47:32,49.63,-1.64,60.01,87,0,5.82
260,Kununurra,AU,2020-07-10 21:44:07,-15.77,128.73,60.8,41,37,11.39
261,Vila Velha,BR,2020-07-10 21:47:33,-20.33,-40.29,69.8,83,20,6.93
262,Fallon,US,2020-07-10 21:43:44,39.47,-118.78,89.6,10,40,5.82
263,San Carlos De Bariloche,AR,2020-07-10 21:43:08,-41.15,-71.31,32.0,95,75,13.87
264,Savalou,BJ,2020-07-10 21:47:33,7.93,1.98,72.73,93,100,4.21
265,Maraa,BR,2020-07-10 21:47:33,-1.83,-65.37,80.2,82,52,3.24
266,Tuatapere,NZ,2020-07-10 21:47:33,-46.13,167.68,45.66,81,70,6.44
267,Seymchan,RU,2020-07-10 21:47:33,62.88,152.43,62.74,70,84,5.95
268,Zaysan,KZ,2020-07-10 21:47:33,47.47,84.87,66.61,50,47,8.5
269,Emba,KZ,2020-07-10 21:47:33,48.83,58.14,79.27,41,0,6.02
270,Vrangel,RU,2020-07-10 21:47:34,42.73,133.08,62.49,88,100,10.83
271,Sabang,ID,2020-07-10 21:47:34,5.89,95.32,82.18,76,97,6.31
272,Kudahuvadhoo,MV,2020-07-10 21:47:34,2.67,72.89,83.37,76,65,10.56
273,Tonantins,BR,2020-07-10 21:47:34,-2.87,-67.8,80.49,78,98,2.04
274,Irbeyskoye,RU,2020-07-10 21:47:34,55.64,95.45,51.66,94,43,6.62
275,Mattawa,US,2020-07-10 21:47:34,46.74,-119.9,82.99,24,1,3.36
276,Mwaya,TZ,2020-07-10 21:47:35,-9.55,33.95,69.39,74,4,3.8
277,Cherskiy,RU,2020-07-10 21:44:09,68.75,161.3,56.68,74,86,9.28
278,Hualmay,PE,2020-07-10 21:47:35,-11.1,-77.61,64.35,72,30,13.15
279,Necochea,AR,2020-07-10 21:47:35,-38.55,-58.74,44.01,84,71,1.99
280,Linxia,CN,2020-07-10 21:47:35,35.6,103.21,62.65,65,100,3.6
281,Salas,ES,2020-07-10 21:47:36,43.41,-6.26,66.0,88,75,4.7
282,Sangar,RU,2020-07-10 21:47:37,63.92,127.47,62.47,70,100,13.0
283,Roald,NO,2020-07-10 21:47:37,62.58,6.13,51.8,81,99,13.87
284,Grand Gaube,MU,2020-07-10 21:47:37,-20.01,57.66,66.99,79,60,7.0
285,Khorramshahr,IR,2020-07-10 21:47:37,30.44,48.17,95.0,39,7,10.6
286,Rhyl,GB,2020-07-10 21:47:37,53.32,-3.49,57.0,87,15,5.99
287,Snezhnogorsk,RU,2020-07-10 21:47:38,69.19,33.25,50.0,93,0,4.47
288,Margate,GB,2020-07-10 21:47:12,51.38,1.39,61.0,61,2,3.0
289,Pilna,RU,2020-07-10 21:47:38,55.55,45.92,57.29,83,20,5.66
290,Gayny,RU,2020-07-10 21:47:38,60.31,54.32,63.25,98,72,7.96
291,Tselinnoye,RU,2020-07-10 21:47:38,53.08,85.67,52.56,91,79,3.2
292,Anadyr,RU,2020-07-10 21:47:39,64.75,177.48,55.4,87,20,2.24
293,Balikpapan,ID,2020-07-10 21:47:39,-1.27,116.83,77.0,100,75,4.7
294,Inongo,CD,2020-07-10 21:47:39,-1.95,18.27,71.28,88,100,7.2
295,Avarua,CK,2020-07-10 21:47:39,-21.21,-159.78,78.8,74,58,8.05
296,Terney,RU,2020-07-10 21:43:15,45.05,136.61,59.27,85,88,6.82
297,Muros,ES,2020-07-10 21:47:39,42.78,-9.06,64.0,73,0,4.0
298,Tulun,RU,2020-07-10 21:47:40,54.56,100.58,62.17,82,85,7.99
299,Gelibolu,TR,2020-07-10 21:47:40,40.41,26.67,73.4,64,0,13.87
300,Oranjestad,AW,2020-07-10 21:43:35,12.52,-70.03,87.8,66,20,26.4
301,Sibolga,ID,2020-07-10 21:47:08,1.74,98.78,76.17,74,88,3.87
302,Jizan,SA,2020-07-10 21:44:23,17.33,42.67,91.4,70,51,3.89
303,Asosa,ET,2020-07-10 21:47:41,10.07,34.53,62.92,95,100,4.52
304,Kawalu,ID,2020-07-10 21:44:16,-7.38,108.21,71.78,92,100,1.43
