City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches,Snow Inches
254,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,65,85,13.87,overcast clouds,0.0,0
255,Mar Del Plata,AR,-38.0,-57.56,48.2,45,40,18.34,scattered clouds,0.0,0
256,Zhangjiakou,CN,40.81,114.88,65.26,84,100,3.47,light rain,0.79,0
257,Tual,ID,-5.67,132.75,79.07,80,36,22.82,scattered clouds,0.0,0
258,Lakes Entrance,AU,-37.88,147.98,52.0,98,100,3.0,light rain,0.16,0
259,Khanpur,PK,28.65,70.66,91.8,54,0,17.63,clear sky,0.0,0
260,Ilulissat,GL,69.22,-51.1,48.2,70,42,5.82,scattered clouds,0.0,0
261,Siddhapur,IN,23.92,72.38,81.45,83,100,10.25,light rain,0.26,0
262,Dwarka,IN,22.24,68.97,83.62,83,80,17.11,broken clouds,0.0,0
263,Zyryanka,RU,65.75,150.85,70.54,46,100,2.59,overcast clouds,0.0,0
264,Gazojak,TM,41.19,61.4,86.63,15,0,12.37,clear sky,0.0,0
265,Namibe,AO,-15.2,12.15,63.61,82,1,8.21,clear sky,0.0,0
266,Ekhabi,RU,53.51,142.97,52.72,93,100,1.86,overcast clouds,0.0,0
267,Nouakchott,MR,18.09,-15.98,82.4,78,20,13.87,few clouds,0.0,0
268,Vila Velha,BR,-20.33,-40.29,77.0,73,57,13.87,broken clouds,0.0,0
269,Nizhniy Odes,RU,63.64,54.86,56.25,73,44,10.18,scattered clouds,0.0,0
270,Hambantota,LK,6.12,81.12,80.73,80,98,16.89,overcast clouds,0.0,0
271,Lazaro Cardenas,MX,17.96,-102.2,86.74,65,94,9.37,overcast clouds,0.0,0
272,Plunge,LT,55.91,21.84,59.0,77,75,5.82,broken clouds,0.0,0
273,Bogande,BF,12.97,-0.14,79.84,67,100,9.42,light rain,0.45,0
274,Anzio,IT,41.49,12.62,78.01,84,0,2.75,clear sky,0.0,0
275,Berlevag,NO,70.86,29.09,44.6,87,20,4.7,few clouds,0.0,0
